,zip,primary_city,state,county,latitude,longitude
0,00501,Holtsville,NY,Suffolk County,40.81,-73.04
1,00544,Holtsville,NY,Suffolk County,40.81,-73.04
2,00601,Adjuntas,PR,Adjuntas Municipio,18.16,-66.72
3,00602,Aguada,PR,Aguada Municipio,18.38,-67.18
4,00603,Aguadilla,PR,Aguadilla Municipio,18.43,-67.15
5,00604,Aguadilla,PR,,18.43,-67.15
6,00605,Aguadilla,PR,,18.43,-67.15
7,00606,Maricao,PR,Maricao Municipio,18.18,-66.98
8,00610,Anasco,PR,Anasco Municipio,18.28,-67.14
9,00611,Angeles,PR,,18.28,-66.79
10,00612,Arecibo,PR,Arecibo Municipio,18.45,-66.73
11,00613,Arecibo,PR,,18.45,-66.73
12,00614,Arecibo,PR,,18.45,-66.73
13,00616,Bajadero,PR,Arecibo Municipio,18.42,-66.67
14,00617,Barceloneta,PR,Barceloneta Municipio,18.45,-66.56
15,00622,Boqueron,PR,Cabo Rojo Municipio,17.99,-67.15
16,00623,Cabo Rojo,PR,Cabo Rojo Municipio,18.08,-67.14
17,00624,Penuelas,PR,Penuelas Municipio,18.06,-66.72
18,00627,Camuy,PR,Camuy Municipio,18.48,-66.84
19,00631,Castaner,PR,Lares Municipio,18.19,-66.82
20,00636,Rosario,PR,,18.15,-67.06
21,00637,Sabana Grande,PR,Sabana Grande Municipio,18.08,-66.96
22,00638,Ciales,PR,Ciales Municipio,18.33,-66.47
23,00641,Utuado,PR,Utuado Municipio,18.27,-66.7
24,00646,Dorado,PR,Dorado Municipio,18.47,-66.27
25,00647,Ensenada,PR,Guanica Municipio,17.96,-66.94
26,00650,Florida,PR,Florida Municipio,18.36,-66.56
27,00652,Garrochales,PR,Arecibo Municipio,18.45,-66.6
28,00653,Guanica,PR,Guanica Municipio,17.99,-66.89
29,00656,Guayanilla,PR,Guayanilla Municipio,18.02,-66.79
30,00659,Hatillo,PR,Hatillo Municipio,18.48,-66.82
31,00660,Hormigueros,PR,Hormigueros Municipio,18.14,-67.12
32,00662,Isabela,PR,Isabela Municipio,18.5,-67.02
33,00664,Jayuya,PR,Jayuya Municipio,18.22,-66.59
34,00667,Lajas,PR,Lajas Municipio,18.04,-67.06
35,00669,Lares,PR,Lares Municipio,18.29,-66.88
36,00670,Las Marias,PR,Las Marias Municipio,18.27,-67.06
37,00674,Manati,PR,Manati Municipio,18.43,-66.48
38,00676,Moca,PR,Moca Municipio,18.39,-67.11
39,00677,Rincon,PR,Rincon Municipio,18.34,-67.25
40,00678,Quebradillas,PR,Quebradillas Municipio,18.47,-66.93
41,00680,Mayaguez,PR,Mayaguez Municipio,18.2,-67.14
42,00681,Mayaguez,PR,,18.2,-67.14
43,00682,Mayaguez,PR,Mayaguez Municipio,18.22,-67.16
44,00683,San German,PR,San German Municipio,18.08,-67.04
45,00685,San Sebastian,PR,San Sebastian Municipio,18.33,-66.99
46,00687,Morovis,PR,Morovis Municipio,18.32,-66.4
47,00688,Sabana Hoyos,PR,Arecibo Municipio,18.38,-66.62
48,00690,San Antonio,PR,Aguadilla Municipio,18.49,-67.09
49,00692,Vega Alta,PR,Vega Alta Municipio,18.41,-66.32
50,00693,Vega Baja,PR,Vega Baja Municipio,18.44,-66.39
51,00694,Vega Baja,PR,Vega Baja Municipio,18.48,-66.39
52,00698,Yauco,PR,Yauco Municipio,18.03,-66.86
53,00703,Aguas Buenas,PR,Aguas Buenas Municipio,18.25,-66.1
54,00704,Aguirre,PR,Salinas Municipio,17.96,-66.22
55,00705,Aibonito,PR,Aibonito Municipio,18.14,-66.26
56,00707,Maunabo,PR,Maunabo Municipio,18.0,-65.9
57,00714,Arroyo,PR,Arroyo Municipio,17.97,-66.06
58,00715,Mercedita,PR,Ponce Municipio,18.01,-66.56
59,00716,Ponce,PR,Ponce Municipio,17.98,-66.6
60,00717,Ponce,PR,Ponce Municipio,18.0,-66.61
61,00718,Naguabo,PR,Naguabo Municipio,18.21,-65.73
62,00719,Naranjito,PR,Naranjito Municipio,18.3,-66.24
63,00720,Orocovis,PR,Orocovis Municipio,18.22,-66.39
64,00721,Palmer,PR,,18.37,-65.77
65,00723,Patillas,PR,Patillas Municipio,18.0,-66.01
66,00725,Caguas,PR,Caguas Municipio,18.23,-66.03
67,00726,Caguas,PR,,18.23,-66.03
68,00727,Caguas,PR,Caguas Municipio,18.22,-66.07
69,00728,Ponce,PR,Ponce Municipio,17.99,-66.66
70,00729,Canovanas,PR,Canovanas Municipio,18.37,-65.9
71,00730,Ponce,PR,Ponce Municipio,18.03,-66.62
72,00731,Ponce,PR,Ponce Municipio,18.11,-66.63
73,00732,Ponce,PR,,17.98,-66.6
74,00733,Ponce,PR,,17.98,-66.6
75,00734,Ponce,PR,,17.98,-66.6
76,00735,Ceiba,PR,Ceiba Municipio,18.25,-65.68
77,00736,Cayey,PR,Cayey Municipio,18.11,-66.16
78,00737,Cayey,PR,,18.11,-66.16
79,00738,Fajardo,PR,Fajardo Municipio,18.33,-65.65
80,00739,Cidra,PR,Cidra Municipio,18.17,-66.15
81,00740,Puerto Real,PR,Fajardo Municipio,18.33,-65.63
82,00741,Punta Santiago,PR,Humacao Municipio,18.16,-65.75
83,00742,Roosevelt Roads,PR,,18.27,-65.65
84,00744,Rio Blanco,PR,,18.22,-65.79
85,00745,Rio Grande,PR,Rio Grande Municipio,18.38,-65.83
86,00751,Salinas,PR,Salinas Municipio,17.97,-66.29
87,00754,San Lorenzo,PR,San Lorenzo Municipio,18.19,-65.96
88,00757,Santa Isabel,PR,Santa Isabel Municipio,17.97,-66.4
89,00765,Vieques,PR,Vieques Municipio,18.13,-65.44
90,00766,Villalba,PR,Villalba Municipio,18.13,-66.48
91,00767,Yabucoa,PR,Yabucoa Municipio,18.04,-65.87
92,00769,Coamo,PR,Coamo Municipio,18.08,-66.36
93,00771,Las Piedras,PR,Las Piedras Municipio,18.18,-65.86
94,00772,Loiza,PR,Loiza Municipio,18.43,-65.88
95,00773,Luquillo,PR,Luquillo Municipio,18.37,-65.71
96,00775,Culebra,PR,Culebra Municipio,18.33,-65.3
97,00777,Juncos,PR,Juncos Municipio,18.22,-65.91
98,00778,Gurabo,PR,Gurabo Municipio,18.25,-65.97
99,00780,Coto Laurel,PR,Ponce Municipio,18.09,-66.57
100,00782,Comerio,PR,Comerio Municipio,18.22,-66.22
101,00783,Corozal,PR,Corozal Municipio,18.34,-66.31
102,00784,Guayama,PR,Guayama Municipio,17.97,-66.11
103,00785,Guayama,PR,,17.97,-66.11
104,00786,La Plata,PR,Aibonito Municipio,18.16,-66.23
105,00791,Humacao,PR,Humacao Municipio,18.15,-65.81
106,00792,Humacao,PR,,18.15,-65.81
107,00794,Barranquitas,PR,Barranquitas Municipio,18.18,-66.3
108,00795,Juana Diaz,PR,Juana Diaz Municipio,18.05,-66.5
109,00801,St Thomas,VI,,18.35,-64.93
110,00802,St Thomas,VI,,18.35,-64.93
111,00803,St Thomas,VI,,18.35,-64.93
112,00804,St Thomas,VI,,18.35,-64.93
113,00805,St Thomas,VI,,18.34,-64.93
114,00820,Christiansted,VI,,17.74,-64.7
115,00821,Christiansted,VI,,17.74,-64.7
116,00822,Christiansted,VI,,17.74,-64.7
117,00823,Christiansted,VI,,17.74,-64.7
118,00824,Christiansted,VI,,17.74,-64.7
119,00830,St John,VI,,18.33,-64.79
120,00831,St John,VI,,18.33,-64.79
121,00840,Frederiksted,VI,,17.71,-64.88
122,00841,Frederiksted,VI,,17.71,-64.88
123,00850,Kingshill,VI,,17.76,-64.82
124,00851,Kingshill,VI,,17.73,-64.8
125,00901,San Juan,PR,San Juan Municipio,18.47,-66.1
126,00902,San Juan,PR,,18.4,-66.06
127,00906,San Juan,PR,San Juan Municipio,18.46,-66.09
128,00907,San Juan,PR,San Juan Municipio,18.45,-66.08
129,00908,San Juan,PR,,18.4,-66.06
130,00909,San Juan,PR,San Juan Municipio,18.44,-66.07
131,00910,San Juan,PR,,18.4,-66.06
132,00911,San Juan,PR,San Juan Municipio,18.45,-66.06
133,00912,San Juan,PR,San Juan Municipio,18.45,-66.06
134,00913,San Juan,PR,San Juan Municipio,18.45,-66.04
135,00914,San Juan,PR,,18.4,-66.06
136,00915,San Juan,PR,San Juan Municipio,18.44,-66.05
137,00916,San Juan,PR,,18.4,-66.06
138,00917,San Juan,PR,San Juan Municipio,18.42,-66.05
139,00918,San Juan,PR,San Juan Municipio,18.42,-66.07
140,00919,San Juan,PR,,18.4,-66.06
141,00920,San Juan,PR,San Juan Municipio,18.41,-66.09
142,00921,San Juan,PR,San Juan Municipio,18.39,-66.09
143,00922,San Juan,PR,,18.4,-66.06
144,00923,San Juan,PR,San Juan Municipio,18.41,-66.04
145,00924,San Juan,PR,San Juan Municipio,18.4,-66.01
146,00925,San Juan,PR,San Juan Municipio,18.4,-66.05
147,00926,San Juan,PR,San Juan Municipio,18.35,-66.05
148,00927,San Juan,PR,San Juan Municipio,18.4,-66.06
149,00928,San Juan,PR,,18.4,-66.06
150,00929,San Juan,PR,San Juan,18.4,-66.06
151,00930,San Juan,PR,,18.4,-66.06
152,00931,San Juan,PR,San Juan,18.4,-66.06
153,00933,San Juan,PR,San Juan,18.4,-66.06
154,00934,Fort Buchanan,PR,Guaynabo Municipio,18.41,-66.12
155,00935,San Juan,PR,San Juan,18.4,-66.06
156,00936,San Juan,PR,San Juan Municipio,18.4,-66.07
157,00937,San Juan,PR,San Juan,18.4,-66.06
158,00939,San Juan,PR,San Juan,18.4,-66.06
159,00940,San Juan,PR,,18.4,-66.06
160,00949,Toa Baja,PR,Toa Baja Municipio,18.44,-66.25
161,00950,Toa Baja,PR,Dorado Municipio,18.46,-66.23
162,00951,Toa Baja,PR,Toa Baja Municipio,18.43,-66.25
163,00952,Sabana Seca,PR,Toa Baja Municipio,18.42,-66.19
164,00953,Toa Alta,PR,Toa Alta Municipio,18.39,-66.25
165,00954,Toa Alta,PR,Toa Alta,18.39,-66.25
166,00955,San Juan,PR,San Juan,18.4,-66.06
167,00956,Bayamon,PR,Bayamon Municipio,18.32,-66.17
168,00957,Bayamon,PR,Bayamon Municipio,18.37,-66.19
169,00958,Bayamon,PR,Bayamon,18.28,-66.13
170,00959,Bayamon,PR,Bayamon Municipio,18.39,-66.15
171,00960,Bayamon,PR,Bayamon Municipio,18.42,-66.15
172,00961,Bayamon,PR,Bayamon Municipio,18.41,-66.17
173,00962,Catano,PR,Catano Municipio,18.44,-66.15
174,00963,Catano,PR,Catano,18.43,-66.11
175,00965,Guaynabo,PR,Guaynabo Municipio,18.43,-66.11
176,00966,Guaynabo,PR,Guaynabo Municipio,18.4,-66.12
177,00968,Guaynabo,PR,Guaynabo Municipio,18.41,-66.1
178,00969,Guaynabo,PR,Guaynabo Municipio,18.38,-66.11
179,00970,Guaynabo,PR,,18.38,-66.11
180,00971,Guaynabo,PR,Guaynabo Municipio,18.32,-66.12
181,00975,San Juan,PR,San Juan,18.4,-66.06
182,00976,Trujillo Alto,PR,Trujillo Alto Municipio,18.36,-66.01
183,00977,Trujillo Alto,PR,,18.36,-66.01
184,00978,Saint Just,PR,San Juan,18.37,-66.01
185,00979,Carolina,PR,Carolina Municipio,18.44,-66.03
186,00981,Carolina,PR,Carolina,18.4,-65.98
187,00982,Carolina,PR,Carolina Municipio,18.41,-65.99
188,00983,Carolina,PR,Carolina Municipio,18.4,-65.98
189,00984,Carolina,PR,Carolina,18.4,-65.98
190,00985,Carolina,PR,Carolina Municipio,18.41,-65.95
191,00986,Carolina,PR,Carolina,18.4,-65.98
192,00987,Carolina,PR,Carolina Municipio,18.34,-65.94
193,00988,Carolina,PR,Carolina,18.4,-65.98
194,01001,Agawam,MA,Hampden County,42.06,-72.61
195,01002,Amherst,MA,Hampshire County,42.37,-72.52
196,01003,Amherst,MA,Hampshire County,42.39,-72.52
197,01004,Amherst,MA,Hampshire County,42.37,-72.52
198,01005,Barre,MA,Worcester County,42.42,-72.1
199,01007,Belchertown,MA,Hampshire County,42.27,-72.4
200,01008,Blandford,MA,Hampden County,42.18,-72.93
201,01009,Bondsville,MA,Hampden County,42.2,-72.34
202,01010,Brimfield,MA,Hampden County,42.11,-72.2
203,01011,Chester,MA,Hampden County,42.28,-72.98
204,01012,Chesterfield,MA,Hampshire County,42.4,-72.85
205,01013,Chicopee,MA,Hampden County,42.15,-72.6
